"ERROR","DESCRIPTION"
"incomplete_day","incomplete or overfilled day: the total number of observations on 2015-04-22 00:00:00 is 1 for RADCEN01"
"incomplete_day","incomplete or overfilled day: the total number of observations on 2015-04-25 00:00:00 is 284 for RADCEN01"
"incomplete_day","incomplete or overfilled day: the total number of observations on 2015-05-16 00:00:00 is 287 for RADCEN01"
"incomplete_day","incomplete or overfilled day: the total number of observations on 2015-04-22 00:00:00 is 1 for RADPRI01"
"incomplete_day","incomplete or overfilled day: the total number of observations on 2015-05-16 00:00:00 is 287 for RADPRI01"
"nullday","there are only null values on 2015-04-22 00:00:00 for RADCEN01"
"nullday","there are only null values on 2015-04-23 00:00:00 for RADCEN01"
"nullday","there are only null values on 2015-04-24 00:00:00 for RADCEN01"
"nullday","there are only null values on 2015-04-25 00:00:00 for RADCEN01"
"nullday","there are only null values on 2015-04-26 00:00:00 for RADCEN01"
"nullday","there are only null values on 2015-04-27 00:00:00 for RADCEN01"
"nullday","there are only null values on 2015-04-28 00:00:00 for RADCEN01"
"nullday","there are only null values on 2015-04-29 00:00:00 for RADCEN01"
"nullday","there are only null values on 2015-04-30 00:00:00 for RADCEN01"
"nullday","there are only null values on 2015-05-01 00:00:00 for RADCEN01"
"nullday","there are only null values on 2015-05-02 00:00:00 for RADCEN01"
"nullday","there are only null values on 2015-05-03 00:00:00 for RADCEN01"
"nullday","there are only null values on 2015-05-04 00:00:00 for RADCEN01"
"nullday","there are only null values on 2015-05-05 00:00:00 for RADCEN01"
"nullday","there are only null values on 2015-05-06 00:00:00 for RADCEN01"
"nullday","there are only null values on 2015-05-07 00:00:00 for RADCEN01"
"nullday","there are only null values on 2015-05-08 00:00:00 for RADCEN01"
"nullday","there are only null values on 2015-05-09 00:00:00 for RADCEN01"
"nullday","there are only null values on 2015-05-10 00:00:00 for RADCEN01"
"nullday","there are only null values on 2015-05-11 00:00:00 for RADCEN01"
"nullday","there are only null values on 2015-05-12 00:00:00 for RADCEN01"
"nullday","there are only null values on 2015-05-13 00:00:00 for RADCEN01"
"nullday","there are only null values on 2015-05-14 00:00:00 for RADCEN01"
"nullday","there are only null values on 2015-05-15 00:00:00 for RADCEN01"
"nullday","there are only null values on 2015-05-16 00:00:00 for RADCEN01"
